project,forked,watchers,stars,forks,subscribers
finn-no/serdes-shootout,FALSE,0,0,2,30
WANdisco/amplab-hive,TRUE,0,0,0,23
smartnews/presto,TRUE,0,0,0,23
tubemogul/druid,TRUE,0,0,0,16
takari/presto,TRUE,0,0,0,15
camunda/camunda-engine-dmn-benchmark,FALSE,0,0,2,14
DiceHoldingsInc/orientdb,TRUE,0,0,0,13
TU-Berlin-SNET/tresor-pdp-caching,FALSE,0,0,0,9
martint/presto,TRUE,0,0,1,9
erichwang/presto,TRUE,0,0,0,8
abstools/timsort-benchmark,FALSE,0,0,0,8
typetools/commons-bcel,TRUE,0,0,0,7
abersnaze/RxJava,TRUE,0,0,0,7
wotifgroup/wotif-logutils,FALSE,0,0,0,6
lingochamp/presto,TRUE,0,0,2,6
LuminateWireless/grpc-java,TRUE,0,0,0,6
gameduell/eclipselink.runtime,TRUE,0,0,0,6
kevoree-modeling/benchmark,FALSE,0,0,0,6
tschechlovdev/jabref,TRUE,0,0,0,5
ayanai1/jabref,TRUE,0,0,0,5
igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano,FALSE,0,0,0,5
CrispOSS/prime-sieves,FALSE,0,0,0,5
tweakers-dev/objectpool-benchmarks,FALSE,0,0,0,5
SoatGroup/benchamrk-lambda,FALSE,0,0,0,5
dabla/parallel-iterable,FALSE,0,0,1,3
SlimRoms/android_external_okhttp,FALSE,0,0,3,3
coder-press/crazy-soap,FALSE,0,0,1,3
apptik/joio,FALSE,0,0,0,3
shashankasharma/commons-csv,TRUE,0,0,0,3
restfb/restfb-benchmark,FALSE,0,0,0,3
immortius/gestalt,TRUE,0,0,0,2
j-musca/kata08-conflicting-objectives,FALSE,0,0,1,2
sunchao/presto,TRUE,0,0,0,2
jkirsch/spex,FALSE,0,0,1,2
cogmission/htm.java,TRUE,0,0,0,2
pujav65/incubator-rya,TRUE,0,0,0,2
gAmUssA/hazelcast-mongo-experiments,FALSE,0,0,0,2
centic9/poi-benchmark,FALSE,0,0,1,2
mcberg2016/graal-core,TRUE,0,0,0,2
trask/glowroot,TRUE,0,0,2,2
jpaw/jpaw,FALSE,0,0,1,2
franz1981/activemq-artemis,TRUE,0,0,1,2
zhenxiao/parquet-mr,TRUE,0,0,1,2
wrmsr/presto,TRUE,0,0,1,2
aitusoftware/flute,FALSE,0,0,0,2
jacques-n/incubator-calcite,TRUE,0,0,0,2
ThreeTen/threeten-bench,FALSE,0,0,1,2
eXistence/TeeTime-Cpp,FALSE,0,0,0,2
jasobrown/barker,FALSE,0,0,0,2
carlyeks/cassandra,TRUE,0,0,0,2
lizhanhui/data_druid,TRUE,0,0,0,2
branches-cc/rtree,TRUE,0,0,0,2
cpiotr/parallel-streams,FALSE,0,0,0,1
KurtYoung/druid,TRUE,0,0,0,1
dmnlukasik/java-8-concurrency-updates,FALSE,0,0,0,1
elliottneilclark/time-test,FALSE,0,0,0,1
BrentDouglas/vial,FALSE,0,0,1,1
jxqlovejava/RxJavaParallel,TRUE,0,0,0,1
elitecodegroovy/log4j2,FALSE,0,0,0,1
vyazelenko/jmh-gradle-plugin,TRUE,0,0,0,1
suyimin/caffeine,TRUE,0,0,0,1
mehant/incubator-calcite,TRUE,0,0,0,1
stevegury/reactivesocket-java,TRUE,0,0,0,1
FieldFlux/orbit,TRUE,0,0,0,1
smartpcr/druid,TRUE,0,0,0,1
besza/jgrapht,TRUE,0,0,0,1
jdivy/netty,TRUE,0,0,0,1
txazo/java,FALSE,0,0,1,1
BunnyWei/truffle-llvmir,FALSE,0,0,0,1
mnuessler/metrics,TRUE,0,0,0,1
jharting/weld-collections-benchmark,FALSE,0,0,1,1
nitram509/intellij-idea-plugin-serializer-toolbox,FALSE,0,0,0,1
marksutt/commonmark-java,TRUE,0,0,0,1
krichter722/jdk9-jdk9-jdk,FALSE,0,0,0,1
svashisth/java-perv,TRUE,0,0,0,1
ruhkopf/Hystrix,TRUE,0,0,0,1
epickrram/lock-contention,FALSE,0,0,0,1
svstanev/presto,TRUE,0,0,0,1
lburgazzoli/logging-log4j2,TRUE,0,0,0,1
henri-tremblay/microbenchmarkingwithjmh,FALSE,0,0,0,1
luyiisme/netty,TRUE,0,0,0,1
mwringe/hawkular-metrics,TRUE,0,0,0,1
nishantmonu51/druid,TRUE,0,0,0,1
benalexau/simple-binary-encoding,TRUE,0,0,0,1
mox601/mybatis-pool-jmh,FALSE,0,0,0,1
sungsoo/optiq-project,FALSE,0,0,0,1
kexianda/commons-crypto,TRUE,0,0,0,1
PascalSchumacher/byte-buddy,TRUE,0,0,0,1
thaibui/algorithms-core,FALSE,0,0,0,1
sheenammittal7/directory-kerby,TRUE,0,0,0,1
philandstuff/dropwizard,TRUE,0,0,0,1
fabito/togglz,TRUE,0,0,0,1
fenderstr/super-bench,FALSE,0,0,0,1
harishsharma/junk,FALSE,0,0,0,1
rspieldenner/spectator,TRUE,0,0,0,1
dflemstr/missinglink,TRUE,0,0,0,1
witi83/jmh-streams,FALSE,0,0,0,1
cawallin/presto,TRUE,0,0,0,1
mugglmenzel/presto,TRUE,0,0,0,1
PhillHenry/palgorithms,FALSE,0,0,0,1
roboxue/librepsheet-java,TRUE,0,0,0,1
marko-bekhta/hibernate-validator,TRUE,0,0,0,1
mosoft521/jodd,TRUE,0,0,0,1
eonezhang/servo,TRUE,0,0,0,1
EvilMcJerkface/atlasdb,TRUE,0,0,0,1
ruediste/salta-benchmark,FALSE,0,0,0,1
d0k1/jitloganalyzer,FALSE,0,0,0,1
eljobe/experiments,FALSE,0,0,0,1
Pitt112/night-hawk,FALSE,0,0,0,1
milimetric/druid,TRUE,0,0,0,1
sormuras/treasure,FALSE,0,0,0,1
nickman/json-benchmark,FALSE,0,0,0,1
drankye/bufferalloc,FALSE,0,0,0,1
josegom/training,FALSE,0,0,0,1
shuyangzhou/netty,TRUE,0,0,0,1
davecramer/pgjdbc,TRUE,0,0,0,1
jchambers/netty,TRUE,0,0,0,1
jacek-rzrz/RxJava,TRUE,0,0,0,1
debmalya/vigilant-tribble,FALSE,0,0,0,1
Techcable/netty,TRUE,0,0,0,1
xnslong/logging-log4j2,TRUE,0,0,0,1
johngmyers/airlift,TRUE,0,0,0,1
antag99/artemis-odb,TRUE,0,0,0,1
srvaroa/RxJava,TRUE,0,0,0,1
akarnokd/JCTools,TRUE,0,0,0,1
MarkBruns/Hystrix,TRUE,0,0,0,1
lexas2509/perf,FALSE,0,0,0,1
pdemanget/examples,FALSE,0,0,0,1
wuyinxian124/netty,TRUE,0,0,0,1
denizdemir/presto,TRUE,0,0,0,1
Lessnic/CAISS,FALSE,0,0,0,1
maximenajim/nashorn-react-jmh-microbenchmark,FALSE,0,0,0,1
